has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
1,1,1,0,0,1,0,0,0,0,0,1,4,0,0,141,0,0,11,49,24,86,1,1,1,10351,4,72,73,35,0,1,1,0,0,1,18,1,0,0,0,13,0,https://ln.run/aPAju,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,283,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,https://universopt.art/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,33,0,0,0,33,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,http://metammaskklogiun.webflow.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,60,0,0,0,60,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,http://ttrezoorio-saitt.webflow.io/,1
1,1,1,0,0,1,0,1,0,0,0,3,2,0,0,1,0,0,8,1,63,14,0,0,0,131,1,2,1,75,0,0,1,0,0,1,16,1,0,1,0,11,0,https://snelsonkbl.wixstudio.com/my-site,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,62,0,0,0,62,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,https://myurl.world/5sn7QY,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://xzxzcewfwfe.blob.core.windows.net/dfchvbmhjk/tyktyudrfghfvc.html,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,4,1,0,0,170,0,2,1,5,0,0,0,0,0,0,14,0,0,0,0,2,0,https://wdgshdshgsq.carrd.co/,1
1,1,0,0,0,1,0,0,1,0,0,11,0,0,0,6,0,0,10,6,13,4,0,0,0,109,0,1,1,9,0,0,1,0,0,0,8,0,0,0,0,0,0,https://form.jotform.com/253111594920049,1
1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,3,4,1,44,1,0,0,300,2,4,2,19,0,0,0,0,0,0,3,0,0,0,0,2,0,https://user8591.top/zbmt.php,1
1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,3,4,1,44,1,0,0,300,2,4,2,19,0,0,0,0,0,0,3,0,0,0,0,2,0,https://wetransfer991.blob.core.windows.net/file4801204839123/index.html,1
1,1,1,0,0,1,1,0,0,0,0,8,3,0,0,2,0,0,6,0,4,13,0,0,0,414,0,5,1,44,0,0,1,0,0,1,3,0,0,0,0,10,0,https://wetransfer991.blob.core.windows.net/file4801204839123/webm.html,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,19,0,0,0,109,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vTVO11D-zzWs09u7tJJUl4FLjZn8TRXxUJ6uC4vV8qyGNqlhoXWNtztykpaKEcCTI15DqBq8BX2gmFS/pub,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,22,0,0,0,22,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,https://kullandelnb.click/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://ch-nouvelle-info.surge.sh/,1
1,1,1,0,0,1,0,0,1,0,0,34,87,0,41,323,0,2,9,41,8,48,0,1,0,12999,87,244,11,319,1,1,1,0,0,1,9,1,0,0,0,201,1,https://ch-nouvelle-info.surge.sh/pages/region.html,1
1,1,1,0,0,1,1,0,0,0,0,2,2,0,0,39,0,0,8,22,12,16,0,1,0,1581,0,81,8,123,0,1,1,0,0,1,10,1,0,0,0,23,0,https://kullansalfa.click/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,14,1,0,0,61,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,https://metamask-lloginn.webflow.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,33,0,0,0,33,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,https://metammaskklogiun.webflow.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,47,0,0,0,47,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,https://metammaklogio.webflow.io/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://mabque-relation-info.surge.sh/,1
1,1,1,0,0,1,0,0,1,0,0,34,87,0,41,323,0,2,9,41,8,48,0,1,0,12999,87,244,11,319,1,1,1,0,0,1,9,1,0,0,0,201,1,https://mabque-relation-info.surge.sh/pages/region.html,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,35,1,0,0,75,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,https://matemskwaltin.webflow.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,21,0,0,0,800,0,12,1,6,0,0,0,0,0,0,4,0,0,0,0,0,0,https://is.gd/aLeEZ3,1
